CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.03;Contas a Receber;109036.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.03;Contas a Receber;302429.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.03.01;Clientes;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.03.01;Clientes;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.04;Estoques;83537.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.04;Estoques;89459.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.06;Tributos a Recuperar;24168.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.06;Tributos a Recuperar;34991.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.06.01;Tributos Correntes a Recuperar;24168.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.06.01;Tributos Correntes a Recuperar;34991.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.06.01.01;Imposto de renda e contribuição social a recuperar;0.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.06.01.01;Imposto de renda e contribuição social a recuperar;18316.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.06.01.02;Tributos a recuperar;24168.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.06.01.02;Tributos a recuperar;16675.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.07;Despesas Antecipadas;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.07;Despesas Antecipadas;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08;Outros Ativos Circulantes;22633.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08;Outros Ativos Circulantes;42077.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.01;Ativos Não-Correntes a Venda;21986.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.01;Ativos Não-Correntes a Venda;26563.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.01.01;Adiantamentos;11528.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.01.01;Adiantamentos;11768.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.01.02;Despesa antecipada;10458.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.01.02;Despesa antecipada;14795.0000000000;N
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.03;Outros;647.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.03;Outros;15514.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02;Ativo Não Circulante;4148774.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02;Ativo Não Circulante;4137207.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01;Ativo Realizável a Longo Prazo;308454.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01;Ativo Realizável a Longo Prazo;442877.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;84798.0000000000;S
